"Business start-ups 2020 (per 10,000 population)",City,GVA per hour 2019 (£),Gross domestic product 2019 (£ billion),Population aged 0-17 2020 (%),Population aged 18-29 2020 (%),Population aged 30-44 2020 (%),Population aged 45-66 2020 (%),Population aged 67+ 2020 (%),Private knowledge intensive business services jobs 2020 (%),Total jobs 2020,Total population 2020,_id
38.85,Aberdeen,34.37,11.23,17.2,19.01,23.91,25.86,14.02,14.43,161475,229100,62738ced3fd7aa713b69f008
51.2,Aldershot,46.64,9.33,21.96,12.64,20.31,29.51,15.58,19.21,99725,183600,62738ced3fd7aa713b69f009
40.1,Barnsley,26.38,4.8,20.81,13.56,18.46,29.81,17.36,5.92,84150,248100,62738ced3fd7aa713b69f00a
54.1,Basildon,38.34,6.55,23.59,13.48,20.31,27.3,15.32,17.51,86160,187600,62738ced3fd7aa713b69f00b
35.58,Belfast,,,22.21,16.86,20.56,26.43,13.94,,,489100,62738ced3fd7aa713b69f00c
43.94,Birkenhead,28.98,6.16,20.79,12.5,17.4,29.71,19.6,10.06,99890,324300,62738ced3fd7aa713b69f00d
56.33,Blackburn,27.26,3.58,25.76,15.23,19.98,26.2,12.82,8.6,68350,150000,62738ced3fd7aa713b69f00f
48.5,Blackpool,31.85,6.31,19.73,12.3,16.22,30.88,20.87,9.89,104200,219600,62738ced3fd7aa713b69f010
50.76,Bournemouth,31.67,11.89,19.23,14.83,18.55,27.62,19.77,16.73,188345,397000,62738ced3fd7aa713b69f011
91.74,Brighton,33.76,11.09,17.85,22.12,20.2,26.27,13.56,15.44,162080,355900,62738ced3fd7aa713b69f013
43.83,Burnley,30.83,4.45,23.36,13.42,19.21,27.28,16.73,5.55,74175,181400,62738ced3fd7aa713b69f015
53.56,Cambridge,33.97,6.76,19.63,30.6,16.51,21.51,11.75,15.14,124275,125100,62738ced3fd7aa713b69f016
46.05,Cardiff,32.6,13,20.41,24.15,19.7,23.12,12.61,14.8,215650,369200,62738ced3fd7aa713b69f017
54.46,Chatham,36.55,6.8,23.44,14.77,20.26,27.18,14.34,9.38,97500,279100,62738ced3fd7aa713b69f018
41.51,Coventry,36.21,11,21.3,24.82,20.83,21.21,11.84,11.58,163475,379400,62738ced3fd7aa713b69f019
44,Crawley,37.07,6.88,24.5,13.28,23.54,26.65,12.02,10.68,92545,112500,62738ced3fd7aa713b69f01a
42.83,Derby,31.82,8.33,23.24,16.8,19.46,25.73,14.77,11.34,140100,256800,62738ced3fd7aa713b69f01b
56.59,Doncaster,27.25,6.97,21.54,13.5,19.14,28.76,17.07,7.93,123875,312800,62738ced3fd7aa713b69f01c
32.93,Dundee,30.49,4.03,17.93,20.88,20.1,25.52,15.57,7.36,75475,148800,62738ced3fd7aa713b69f01d
47.26,Exeter,35.76,6.21,17.07,27.52,18.82,22.27,14.32,10.36,95500,133300,62738ced3fd7aa713b69f01f
43.56,Gloucester,28.93,3.67,22.19,14.72,20.12,27.85,15.11,11.77,66675,129700,62738ced3fd7aa713b69f021
50.65,Huddersfield,26.73,9.12,22.67,14.52,19.09,27.79,15.93,8.29,159625,441300,62738ced3fd7aa713b69f022
34.16,Hull,28.9,7.07,22.22,18.39,20.32,25.68,13.39,6.14,121450,259100,62738ced3fd7aa713b69f023
54.04,Ipswich,35.75,4.74,22.74,14.59,21.04,26.55,15.09,14.55,72310,136000,62738ced3fd7aa713b69f024
68.62,Luton,36.29,7.19,27.2,14.83,23.27,23.54,11.16,9.64,93580,213500,62738ced3fd7aa713b69f029
35.13,Mansfield,27.73,5.33,21.01,13.32,18.95,29.43,17.29,6.36,93405,237700,62738ced3fd7aa713b69f02b
35.3,Middlesbrough,31.05,11.43,22.01,14.46,18.27,28.26,17,7.55,186125,475900,62738ced3fd7aa713b69f02c
66.43,Milton Keynes,43.9,15.58,25.65,12.19,22.79,26.76,12.6,19.08,177200,270200,62738ced3fd7aa713b69f02d
43.99,Newport,29.74,6.59,21.91,14.75,19.43,27.51,16.4,11.15,116750,251200,62738ced3fd7aa713b69f030
